shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape-SH1, 43.626920000000005, 7.05416, 100, 
shape-SH1, 43.6268, 7.05503, 101, 
shape-SH1, 43.62675, 7.055210000000001, 102, 
shape-SH1, 43.62668, 7.05534, 103, 
shape-SH1, 43.6266, 7.055420000000001, 104, 
shape-SH1, 43.6261, 7.055790000000001, 105, 
shape-SH1, 43.6255, 7.056260000000001, 106, 
shape-SH1, 43.62529000000001, 7.05644, 107, 
shape-SH1, 43.624930000000006, 7.0568100000000005, 108, 
shape-SH1, 43.62478, 7.05686, 109, 
shape-SH1, 43.62472, 7.056820000000001, 110, 
shape-SH1, 43.624660000000006, 7.056820000000001, 111, 
shape-SH1, 43.624610000000004, 7.05684, 112, 
shape-SH1, 43.62456, 7.056890000000001, 113, 
shape-SH1, 43.62453, 7.05698, 114, 
shape-SH1, 43.62453, 7.05705, 115, 
shape-SH1, 43.62454, 7.05712, 116, 
shape-SH1, 43.6246, 7.05719, 117, 
shape-SH1, 43.624700000000004, 7.057290000000001, 118, 
shape-SH1, 43.624770000000005, 7.057530000000001, 119, 
shape-SH1, 43.624770000000005, 7.0577000000000005, 120, 
shape-SH1, 43.62474, 7.057860000000001, 121, 
shape-SH1, 43.624660000000006, 7.05801, 122, 
shape-SH1, 43.62456, 7.058160000000001, 123, 
shape-SH1, 43.62433, 7.05841, 124, 
shape-SH1, 43.6242, 7.058580000000001, 125, 
shape-SH1, 43.62411, 7.0587800000000005, 126, 
shape-SH1, 43.624050000000004, 7.05907, 127, 
shape-SH1, 43.623990000000006, 7.05949, 128, 
shape-SH1, 43.623940000000005, 7.05965, 129, 
shape-SH1, 43.623850000000004, 7.059740000000001, 130, 
shape-SH1, 43.623810000000006, 7.059810000000001, 131, 
shape-SH1, 43.62379000000001, 7.05989, 132, 
shape-SH1, 43.62382, 7.0601400000000005, 133, 
shape-SH1, 43.62377, 7.0604700000000005, 134, 
shape-SH1, 43.62348, 7.06141, 135, 
shape-SH1, 43.623360000000005, 7.061640000000001, 136, 
shape-SH1, 43.62328, 7.061770000000001, 137, 
shape-SH1, 43.6231, 7.0619700000000005, 138, 
shape-SH1, 43.62301, 7.06202, 139, 
shape-SH2, 43.62301, 7.06202, 0, 
shape-SH2, 43.62294000000001, 7.06202, 1, 
shape-SH2, 43.622890000000005, 7.062, 2, 
shape-SH2, 43.622800000000005, 7.06188, 3, 
shape-SH2, 43.62267000000001, 7.06174, 4, 
shape-SH2, 43.622550000000004, 7.06153, 5, 
shape-SH2, 43.62254, 7.06151, 6, 
shape-SH2, 43.62259, 7.06148, 7, 
shape-SH2, 43.62266, 7.061420000000001, 8, 
shape-SH2, 43.622820000000004, 7.06127, 9, 
