trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
SBdown04,12:46:00,12:46:00,GREEN_SIDE_15,212,,,,
SBdown05,13:03:00,13:03:00,MAIN_SITE,213,,,,
SBdown05,13:07:00,13:07:00,TEMPLIERS,214,,,,
SBdown05,13:11:00,13:11:00,GREEN_SIDE_15,215,,,,
SBdown06,13:23:00,13:23:00,MAIN_SITE,216,,,,
SBdown06,13:27:00,13:27:00,TEMPLIERS,217,,,,
SBdown06,13:31:00,13:31:00,GREEN_SIDE_15,218,,,,
SBdown07,13:43:00,13:43:00,MAIN_SITE,219,,,,
SBdown07,13:47:00,13:47:00,TEMPLIERS,220,,,,
SBdown07,13:51:00,13:51:00,GREEN_SIDE_15,221,,,,
SBdown08,14:03:00,14:03:00,MAIN_SITE,222,,,,
SBdown08,14:07:00,14:07:00,TEMPLIERS,223,,,,
SBdown08,14:11:00,14:11:00,GREEN_SIDE_15,224,,,,
SCup01,11:30:00,11:30:00,GREEN_SIDE_5,201,,,,
SCup01,11:33:00,11:33:00,TEMPLIERS,202,,,,
SCup01,11:36:00,11:36:00,EMERALD,203,,,,
SCup01,11:41:00,11:41:00,MAIN_SITE,204,,,,
SCup02,11:55:00,11:55:00,GREEN_SIDE_5,206,,,,
SCup02,11:58:00,11:58:00,TEMPLIERS,207,,,,
SCup02,12:01:00,12:01:00,EMERALD,208,,,,
SCup02,12:06:00,12:06:00,MAIN_SITE,209,,,,
SCup03,12:20:00,12:20:00,GREEN_SIDE_5,211,,,,
SCup03,12:23:00,12:23:00,TEMPLIERS,212,,,,
SCup03,12:26:00,12:26:00,EMERALD,213,,,,
SCup03,12:31:00,12:31:00,MAIN_SITE,214,,,,
SCup04,12:45:00,12:45:00,GREEN_SIDE_5,216,,,,
SCup04,12:48:00,12:48:00,TEMPLIERS,217,,,,
SCup04,12:51:00,12:51:00,EMERALD,218,,,,
SCup04,12:56:00,12:56:00,MAIN_SITE,219,,,,
SCup05,13:15:00,13:15:00,GREEN_SIDE_5,221,,,,
SCup05,13:18:00,13:18:00,TEMPLIERS,222,,,,
SCup05,13:21:00,13:21:00,EMERALD,223,,,,
SCup05,13:26:00,13:26:00,MAIN_SITE,224,,,,
SCup06,13:40:00,13:40:00,GREEN_SIDE_5,226,,,,
SCup06,13:43:00,13:43:00,TEMPLIERS,227,,,,
SCup06,13:46:00,13:46:00,EMERALD,228,,,,
SCup06,13:51:00,13:51:00,MAIN_SITE,229,,,,
SCup07,14:05:00,14:05:00,GREEN_SIDE_5,231,,,,
SCup07,14:08:00,14:08:00,TEMPLIERS,232,,,,
SCup07,14:11:00,14:11:00,EMERALD,233,,,,
SCup07,14:16:00,14:16:00,MAIN_SITE,234,,,,
SCdown01,11:41:00,11:41:00,MAIN_SITE,101,,,,
SCdown01,11:43:00,11:43:00,EMERALD,102,,,,
SCdown01,11:47:00,11:47:00,TEMPLIERS,103,,,,
SCdown01,11:51:00,11:51:00,GREEN_SIDE_5,104,,,,
SCdown02,12:06:00,12:06:00,MAIN_SITE,105,,,,
SCdown02,12:08:00,12:08:00,EMERALD,106,,,,
SCdown02,12:12:00,12:12:00,TEMPLIERS,107,,,,
SCdown02,12:16:00,12:16:00,GREEN_SIDE_5,108,,,,
SCdown03,12:31:00,12:31:00,MAIN_SITE,109,,,,
SCdown03,12:33:00,12:33:00,EMERALD,110,,,,
SCdown03,12:37:00,12:37:00,TEMPLIERS,111,,,,
SCdown03,12:41:00,12:41:00,GREEN_SIDE_5,112,,,,
SCdown04,12:56:00,12:56:00,MAIN_SITE,113,,,,
SCdown04,12:58:00,12:58:00,EMERALD,114,,,,
SCdown04,13:02:00,13:02:00,TEMPLIERS,115,,,,
SCdown04,13:06:00,13:06:00,GREEN_SIDE_5,116,,,,
SCdown05,13:26:00,13:26:00,MAIN_SITE,117,,,,
SCdown05,13:28:00,13:28:00,EMERALD,118,,,,
SCdown05,13:32:00,13:32:00,TEMPLIERS,119,,,,
SCdown05,13:36:00,13:36:00,GREEN_SIDE_5,120,,,,
SCdown06,13:51:00,13:51:00,MAIN_SITE,121,,,,
SCdown06,13:53:00,13:53:00,EMERALD,122,,,,
SCdown06,13:57:00,13:57:00,TEMPLIERS,123,,,,
SCdown06,14:01:00,14:01:00,GREEN_SIDE_5,124,,,,
SCdown07,14:16:00,14:16:00,MAIN_SITE,125,,,,
SCdown07,14:18:00,14:18:00,EMERALD,126,,,,
SCdown07,14:22:00,14:22:00,TEMPLIERS,127,,,,
SCdown07,14:26:00,14:26:00,GREEN_SIDE_5,128,,,,
